Command,Category
wikipedia about gal gadot,5
wikipedia about elon musk,5
wikipedia about facebook,5
wikipedia about india,5
wikipedia about obama,5
wikipedia about youtube,5
wikipedia about thor,5
wikipedia about world war,5
wikipedia about pakistan,5
wikipedia about rafale,5
wikipedia about google,5
wikipedia about sex,5
wikipedia about harry potter,5
wikipedia about china,5
wikipedia about earth,5
wikipedia about sun,5
wikipedia about katy perry,5
wikipedia about dhoni,5
wikipedia about global warming,5
what time is it,6
what is the time,6
time,6
tell me the time,6
tell time,6
what time,6
time,6
hour,6
minutes,6
time,6
time,6
time,6
time,6
time,6
time,6
time,6
time,6
time,6
time,6
time,6
time,6
time,6
time,6
time,6
time,6
time,6
time,6
weather,7
how is the weather,7
tell me about weather,7
is it rainy weather,7
is it sunny weather,7
is it rainy outside,7
is it sunny outside,7
are there clouds,7
what is temperature outside,7
is temperature hot,7
is temperature cold,7
do I need umbrella today,7
weather temperature today,7
rainy sunny overcast,7
cold hot mild,7
weather temperature today,7
rainy sunny overcast,7
cold hot mild,7
weather temperature today,7
rainy sunny overcast,7
cold hot mild,7
weather temperature today,7
rainy sunny overcast,7
cold hot mild,7
weather temperature today,7
rainy sunny overcast,7
cold hot mild,7
tell me some top stories of the day,8
tell me the latest news for today,8
tell me some breaking news,8
tell me national news,8
what is happening around ,8
tell me some world news,8
tell me top stories of the world,8
what is happening around the globe,8
tell me global news,8
tell me finance news,8
finance news for today,8
finance news stories ,8
tell me business news ,8
some business news please,8
fetch some finance news,8
get some business news,8
get some top stories for today,8
fetch me some global news,8
tell me some tech news for today,8
tech stories of now,8
fetch some text stories,8
get me latest tech news,8
latest tech news,8
top tech news,8
tell me sports news,8
get some sports news,8
top sports news,8
best sports news,8
get me sports news,8
fetch me sports news,8
get top world news,8
get the top news of nation,8
live cricket score,9
live cricket score,9
live cricket score,9
live cricket score,9
live cricket score,9
live cricket score,9
live cricket score,9
live cricket score,9
live cricket score,9
live cricket score,9
live cricket score,9
live cricket score,9
live cricket score,9
live cricket score,9
live cricket score,9
live cricket score,9
live cricket score,9
live cricket score,9
live cricket score,9
live cricket score,9
live cricket score,9
live cricket score,9
live cricket score,9
live cricket score,9
live cricket score,9
live cricket score,9
who are you,10
give your indroduction,10
introduce yourself,10
who are you,10
give your indroduction,10
introduce yourself,10
who are you,10
give your indroduction,10
introduce yourself,10
who are you,10
give your indroduction,10
introduce yourself,10
who are you,10
give your indroduction,10
introduce yourself,10
who are you,10
give your indroduction,10
introduce yourself,10
who are you,10
indroduce yourself,10
give your introduction,10
who are you,10
indroduce yourself,10
give your introduction,10
